nameWithOwner,url,createdAt,stargazers,releases
sockeqwe/mosby,https://github.com/sockeqwe/mosby,2015-03-25T00:59:19Z,5494,15
hanks-zyh/HTextView,https://github.com/hanks-zyh/HTextView,2015-12-19T16:34:59Z,5478,0
raphw/byte-buddy,https://github.com/raphw/byte-buddy,2013-11-25T19:38:03Z,5455,263
facebookarchive/rebound,https://github.com/facebookarchive/rebound,2013-10-11T01:12:37Z,5455,10
dm77/barcodescanner,https://github.com/dm77/barcodescanner,2014-02-24T21:14:09Z,5454,6
microg/GmsCore,https://github.com/microg/GmsCore,2014-04-23T19:28:47Z,5426,29
wiremock/wiremock,https://github.com/wiremock/wiremock,2011-10-09T20:27:24Z,5414,9
evernote/android-job,https://github.com/evernote/android-job,2015-08-20T19:36:54Z,5387,31
jgilfelt/SystemBarTint,https://github.com/jgilfelt/SystemBarTint,2013-11-17T12:35:05Z,5383,3
journeyapps/zxing-android-embedded,https://github.com/journeyapps/zxing-android-embedded,2012-11-28T16:36:39Z,5364,9
btraceio/btrace,https://github.com/btraceio/btrace,2014-08-28T18:58:24Z,5361,30
wasabeef/Blurry,https://github.com/wasabeef/Blurry,2015-07-23T14:12:08Z,5359,0
jOOQ/jOOQ,https://github.com/jOOQ/jOOQ,2011-04-17T10:43:33Z,5344,0
scribejava/scribejava,https://github.com/scribejava/scribejava,2010-09-05T19:11:40Z,5335,9
hibernate/hibernate-orm,https://github.com/hibernate/hibernate-orm,2010-10-04T16:15:52Z,5320,16
XRecyclerView/XRecyclerView,https://github.com/XRecyclerView/XRecyclerView,2015-11-18T08:14:22Z,5318,0
evant/gradle-retrolambda,https://github.com/evant/gradle-retrolambda,2013-08-05T02:09:58Z,5317,37
commonsguy/cw-omnibus,https://github.com/commonsguy/cw-omnibus,2012-03-12T14:12:06Z,5309,36
hazelcast/hazelcast,https://github.com/hazelcast/hazelcast,2012-03-21T12:25:18Z,5275,182
yixia/VitamioBundle,https://github.com/yixia/VitamioBundle,2012-10-19T08:40:49Z,5273,0
lucasr/twoway-view,https://github.com/lucasr/twoway-view,2013-01-18T20:55:23Z,5250,0
h6ah4i/android-advancedrecyclerview,https://github.com/h6ah4i/android-advancedrecyclerview,2015-01-24T16:14:39Z,5246,1
motianhuo/wechat,https://github.com/motianhuo/wechat,2015-05-25T02:33:37Z,5245,0
Clans/FloatingActionButton,https://github.com/Clans/FloatingActionButton,2015-03-21T12:36:16Z,5233,14
gephi/gephi,https://github.com/gephi/gephi,2011-10-22T03:14:46Z,5228,19
xxv/android-lifecycle,https://github.com/xxv/android-lifecycle,2014-04-18T14:26:22Z,5217,0
Yalantis/Side-Menu.Android,https://github.com/Yalantis/Side-Menu.Android,2015-01-13T11:11:27Z,5212,2
thinkaurelius/titan,https://github.com/thinkaurelius/titan,2012-02-25T22:53:53Z,5212,0
TommyLemon/Android-ZBLibrary,https://github.com/TommyLemon/Android-ZBLibrary,2015-08-20T16:03:53Z,5209,25
square/otto,https://github.com/square/otto,2012-06-27T19:06:49Z,5191,0
